varit,varihin
oahpis,oahpisin
ʧoarvuʃ,ʧoarvuʃin
lottaaʃ,lottaaʤin
ʧuoivvat,ʧuoivvaɡin
ahhkut,ahhkubin
suohkat,suohkaðin
heeʤoʃ,heeʤoʤin
aaʤʤut,aaʤʤubin
bissobeahtset,bissobeahtsehin
ʧeahtsit,ʧeahtsibin
jaaʔmin,jaaʔmimin
ʧuoivat,ʧuoivaɡin
laaɡeʃ,laaɡeʤin
ɡahpir,ɡahpirin
ɡaauhtsis,ɡaauhtsisin
aaslat,aaslaɡin
baðooʃɡaattset,baðooʃɡaattsebin
ahhkit,ahhkiðin
bahaanaalat,bahaanaalaɡin
beʃtor,beʃtorin
heevemeahhtun,heevemeahhtunin
beeʤot,beeʤohin
bissomeahtun,bissomeahtumin
laðas,laðasin
heaijusmielat,heaijusmielaɡin
heaŋkkan,heaŋkkanin
jaman,jamanin
