kriʒan,kriʒana,kriʒano,kriʒani,,,,
sunʧan,sunʧana,sunʧano,sunʧani,,,,
sveʧan,sveʧana,sveʧano,sveʧani,,,,
boɡat,boɡata,boɡato,boɡati,,,,
rapav,rapava,rapavo,rapavi,,,,
mlád,mladá,mladó,mladí,,,,
túp,tupá,tupó,tupí,,,,
bláɡ,blaɡá,blaɡó,blaɡí,,,,
ɡrúb,ɡrubá,ɡrubó,ɡrubí,,,,
béo,belá,beló,belí,,,,
veseo,vesela,veselo,veseli,,,,
debéo,debelá,debeló,debelí,,,,
mío,milá,miló,milí,,,,
zelén,zelená,zelenó,zelení,,,,
kradén,kradená,kradenó,kradení,,,,
dalék,daleká,dalekó,dalekí,,,,
visók,visoká,visokó,visokí,,,,
dubók,duboká,dubokó,dubokí,,,,
jásan,jasná,jasnó,jasní,,,,
váʒan,vaʒná,vaʒnó,vaʒní,,,,
sítan,sitná,sitnó,sitní,,,,
ledan,ledna,ledno,ledni,,,,
tának,tanká,tankó,tankí,,,,
krátak,kratká,kratkó,kratkí,,,,
blízak,bliská,bliskó,bliskí,,,,
úzak,uská,uskó,uskí,,,,
dóbar,dobrá,dobró,dobrí,,,,
óʃtar,oʃtrá,oʃtró,oʃtrí,,,,
bodar,bodra,bodro,bodri,,,,
ustao,ustala,ustalo,ustali,,,,
múkao,muklá,mukló,muklí,,,,
óbao,oblá,obló,oblí,,,,
pódao,podlá,podló,podlí,,,,
,,,,tepém,tépao,teplá,tepló
,,,,skubém,skúbao,skublá,skubló
,,,,tresém,trésao,treslá,tresló
,,,,vezém,vézao,vezlá,vezló
