zub,zubam,zubovʲi,zubʲi,,,,,,
svʲit,svʲitam,svʲitovʲi,svʲitʲi,,,,,,
zʲatʲ,zʲatʲam,zʲatevʲi,,zʲatevʲi,,,,,
koʃʲilʲ,koʃelʲam,koʃelevʲi,koʃelʲi,,,,,,
zlodʲij,zlodʲijam,zlodʲijevʲi,,zlodʲijevʲi,,,,,
mʲisʲaʦʲ,mʲisʲaʦʲam,mʲisʲaʦevʲi,mʲisʲaʦʲi,,,,,,
korovaj,korovajam,korovajevʲi,korovaji,,,,,,
kamʲinʲ,kamenʲam,kamenevʲi,kamenʲi,,,,,,
mʲidʲ,mʲidʲam,mʲidevʲi,mʲidʲi,,,,,,
xlʲiw,xlʲivam,xlʲivovʲi,xlʲivʲi,,,,,,
holub,holubam,holubovʲi,holubʲi,,,,,,
sʲin,sʲinam,sʲinovʲi,sʲinʲi,,,,,,
lebʲidʲ,lebedʲam,lebedevʲi,lebedʲi,,,,,,
susʲid,susʲidam,susʲidovʲi,,susʲidovʲi,,,,,
ʧolovʲik,ʧolovʲikam,ʧolovʲikovʲi,,ʧolovʲikovʲi,,,,,
lʲid,ledam,ledovʲi,ledʲi,,,,,,
bilʲ,bolʲam,bolevʲi,bolʲi,,,,,,
riw,rovam,rovovʲi,rovʲi,,,,,,
stiw,stolam,stolovʲi,stolʲi,,,,,,
dʲid,dʲidam,dʲidovʲi,,dʲidovʲi,,,,,
lʲit,lʲotam,lʲotovʲi,lʲotʲi,,,,,,
mist,mostam,mostovʲi,mostʲi,,,,,,
veʧir,veʧoram,veʧorovʲi,veʧorʲi,,,,,,
,,,,,tʲilo,tʲila,tʲilu,tʲilʲi,tʲiw
,,,,,koleso,kolesa,kolesu,kolesʲi,kolʲis
,,,,,ozero,ozera,ozeru,ozerʲi,ozʲir
,,,,,selo,sela,selu,selʲi,sʲiw
,,,,,pole,polʲa,polʲu,polʲi,pilʲ
,,,,,slovo,slova,slovu,slovʲi,sliw
,,,,,more,morʲa,morʲu,morʲi,mirʲ
