arks,arkis,
duks,dukis,
daps,dapis,
reːks,reːɡis,
falanks,falanɡis,
filiks,filikis,
lapis,lapidis,
liːs,liːtis,
fraws,frawdis,
noks,noktis,
frons,frontis,
frons,frondis,
inkuːs,inkuːdis,
sors,sortis,
fuːr,fuːris,
murmur,murmuris,
auɡur,auɡuris,
arbor,arboris,
puɡil,puɡilis,
sal,salis,
adeps,adipis,
apeks,apikis,
priːnkeps,priːnkipis,
ekwes,ekwitis,
miles,militis,
noːmen,noːminis,
karmen,karminis,
luːmen,luːminis,
wenter,wentris,
pater,patris,
kadaːwer,kadaːweris,
tuːber,tuːberis,
piper,piperis,
karker,karkeris,
dieːs,,dieːiː
liːber,,liːberiː
miser,,miseriː
aɡer,,aɡriː
sinister,,sinistriː
liber,,libriː
as,assis,
os,ossis,
far,farris,
mel,mellis,
oːs,oːris,
floːs,floːris,
muːs,muːris,
cruːs,cruːris,
kinis,kineris,
pulvis,pulveris,
