oda,odasɨ,odaja,odadan,odalar
dere,deresi,dereje,dereden,dereler
yty,ytysy,ytyje,ytyden,ytyler
balo,balosu,baloja,balodan,balolar
arɨ,arɨsɨ,arɨja,arɨdan,arɨlar
laː,laːsɨ,laːja,laːdan,laːlar
binaː,binaːsɨ,binaːja,binaːdan,binaːlar
imlaː,imlaːsɨ,imlaːja,imlaːdan,imlaːlar
beː,beːsi,beːje,beːden,beːler
kep,kepi,kepe,kepten,kepler
at,atɨ,ata,attan,atlar
ek,eki,eke,ekten,ekler
ok,oku,oka,oktan,oklar
ɡyʧ,ɡyʤy,ɡyʤe,ɡyʧten,ɡyʧler
ahmet,ahmedi,ahmede,ahmetten,ahmetler
kurt,kurdu,kurda,kurttan,kurtlar
tyrk,tyrky,tyrke,tyrkten,tyrkler
ɡenʧ,ɡenʧi,ɡenʧe,ɡenʧten,ɡenʧler
halk,halkɨ,halka,halktan,halklar
yst,ysty,yste,ystten,ystler
sarp,sarpɨ,sarpa,sarptan,sarplar
harp,harbɨ,harba,harptan,harplar
alt,altɨ,alta,alttan,altlar
renk,renɡi,renɡe,renkten,renkler
his,hissi,hisse,histen,hisler
hyr,hyrry,hyrre,hyrden,hyrler
mahal,mahallɨ,mahalla,mahaldan,mahallar
hak,hakkɨ,hakka,haktan,haklar
zam,zammɨ,zamma,zamdan,zamlar
af,affɨ,affa,aftan,aflar
arap,arabɨ,araba,araptan,araplar
kojun,kojunu,kojuna,kojundan,kojunlar
pilot,pilotu,pilota,pilottan,pilotlar
kitap,kitabɨ,kitaba,kitaptan,kitaplar
domuz,domuzu,domuza,domuzdan,domuzlar
davul,davulu,davula,davuldan,davullar
bajɨr,bajɨrɨ,bajɨra,bajɨrdan,bajɨrlar
somun,somunu,somuna,somundan,somunlar
fikir,fikri,fikre,fikirden,fikirler
isim,ismi,isme,isimden,isimler
bojun,bojnu,bojna,bojundan,bojunlar
ʧevir,ʧevri,ʧevre,ʧevirden,ʧevirler
devir,devri,devre,devirden,devirler
kojun,kojnu,kojna,kojundan,kojunlar
karɨn,karnɨ,karna,karɨndan,karɨnlar
burun,burnu,burna,burundan,burunlar
akɨl,aklɨ,akla,akɨldan,akɨllar
ʃehir,ʃehri,ʃehre,ʃehirden,ʃehirler
namaz,namazɨ,namaza,namazdan,namazlar
zaman,zamaːnɨ,zamaːna,zamandan,zamanlar
harap,haraːbɨ,haraːba,haraptan,haraplar
iːkaz,iːkaːzɨ,iːkaːza,iːkazdan,iːkazlar
hajat,hajaːtɨ,hajaːta,hajattan,hajatlar
ispat,ispaːtɨ,ispaːta,ispattan,ispatlar
inek,inei,inee,inekten,inekler
mantɨk,mantɨɨ,mantɨa,mantɨktan,mantɨklar
ajak,ajaɨ,ajaa,ajaktan,ajaklar
ʧabuk,ʧabuu,ʧabua,ʧabuktan,ʧabuklar
dakik,dakii,dakie,dakikten,dakikler
merak,meraːkɨ,meraːka,meraktan,meraklar
tebrik,tebriːki,tebriːke,tebrikten,tebrikler
hukuk,hukuːku,hukuːka,hukuktan,hukuklar
